어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
암흑성,단어,한자어,暗黑星,"한자 暗黑星
","「명사」
","빛을 내지 아니하는 별.
"
암흑세계,단어,한자어,暗黑世界,"한자 暗黑世界
","「명사」
","「1」밤처럼 어두운 세계.
「2」도덕이나 이성이 쇠퇴하고 범죄와 폭력이 지배하는 무질서한 세계.
"
암흑시대,단어,한자어,暗黑時代,"한자 暗黑時代
","「명사」
","「1」도덕이나 이성, 문명이 쇠퇴하고 세상이 어지러운 시기.
「2」서양사에서, 봉건 제도와 교회의 속박으로 학문과 예술이 쇠퇴하였던 중세(中世)를 이르는 말.
"
암흑연,단어,한자어,暗黑然,"한자 暗黑然
","「명사」
","「1」어둡고 캄캄한 모양.
「2」사회나 인생에 암담하고 비참한 일이 존재하는 듯한 모양.
"
암흑천지,단어,한자어,暗黑天地,"한자 暗黑天地
","「명사」
","「1」하늘과 땅이 어둡고 캄캄한 상태.
「2」부도덕한 행위나 범죄 행위가 난무하는 암담하고 불안한 사회.
"
암흑체,단어,한자어,暗黑體,"한자 暗黑體
","「명사」
","모든 파장의 전자기파를 완전하게 흡수하는 물체. 열복사 현상을 이론적으로 조사하는 데 도움이 된다.
"
암희,단어,한자어,暗喜,"한자 暗喜
","「명사」
","남몰래 속으로 기뻐함.
"
압각,단어,한자어,壓覺,"한자 壓覺
","「명사」
","피부나 그 밖의 신체 일부가 눌렸을 때 생기는 감각. 좁게는 피부 깊숙이 느껴지는 경우만을 이르며, 피부 표면에서 느껴지는 촉각과 구별한다. 피부에 분포하는 압점이 감각의 수용기이다.
"
압각수,단어,한자어,鴨脚樹,"한자 鴨脚樹
","「명사」
","은행나뭇과의 낙엽 교목. 높이는 40미터 정도이며, 잎은 부채 모양으로 한군데서 여러 개가 난다. 암수딴그루로 5월에 꽃이 피는데, 암꽃은 녹색이고 수꽃은 연한 노란색이다. 열매는 핵과(核果)로 10월에 노랗게 익는데 ‘은행’이라고 한다. 목재는 조각, 가구 용재 따위에 쓰고, 관상용 또는 가로수로 재배한다. 동아시아에 한 종만이 분포한다.
"
압각자,단어,한자어,鴨脚子,"한자 鴨脚子
","「명사」
","은행나무의 열매. 식용하거나 약용한다.
"
압감,단어,한자어,壓感,"한자 壓感
","「명사」
","피부나 그 밖의 신체 일부가 눌렸을 때 생기는 감각. 좁게는 피부 깊숙이 느껴지는 경우만을 이르며, 피부 표면에서 느껴지는 촉각과 구별한다. 피부에 분포하는 압점이 감각의 수용기이다.
"
압객,단어,한자어,狎客,"한자 狎客
","「명사」
","「1」주인과 스스럼없이 가깝게 지내는 손님.
「2」오입질하는 사람을 낮잡아 이르는 말.
"
압경,단어,한자어,壓境,"한자 壓境
","「명사」
","경계 지역에 바싹 다가옴.
"
압경주,단어,한자어,壓驚酒,"한자 壓驚酒
","「명사」
","놀란 마음을 진정시키기 위하여 마시는 술.
"
압공,단어,한자어,押貢,"한자 押貢
","「명사」
","조선 시대에, 공물을 호송하던 일.
"
압공인,단어,한자어,押貢人,"한자 押貢人
","「명사」
","공물을 호송하던 사람.
"
압관기,단어,한자어,押貫機,"한자 押貫機
","「명사」
","철판에 구멍을 뚫는 기계.
"
압교,단어,한자어,押交,"한자 押交
","「명사」
","죄인을 압송하여 넘김.
"
압구정,단어,한자어,狎鷗亭,"한자 狎鷗亭
","「명사」
","‘한명회’의 호.
"
압권,단어,한자어,壓卷,"한자 壓卷
","「명사」
","「1」여러 책이나 작품 가운데 제일 잘된 책이나 작품. 고대 중국의 관리 등용 시험에서 가장 뛰어난 답안지를 다른 답안지 위에 얹어 놓았다는 데서 유래한다.
「2」하나의 책이나 작품 가운데 가장 잘된 부분.
「3」여럿 가운데 가장 뛰어난 것.
"
압궤,단어,한자어,壓潰,"한자 壓潰
","「명사」
","눌러서 부서뜨림.
"
압근,단어,한자어,狎近,"한자 狎近
","「명사」
","버릇없이 어른에게 바싹 다가붙음.
"
압근지지,단어,한자어,狎近之地,"한자 狎近之地
","「명사」
","무덤이나 집터 따위의 바로 곁에 이웃하고 있는 땅.
"
압기,단어,한자어,狎妓,"한자 狎妓
","「명사」
","귀엽게 여기어 돌보아 주는 기생.
"
압날법,단어,한자어,押捺法,"한자 押捺法
","「명사」
","토기에 무늬를 눌러서 넣는 방법.
"
압닐,단어,한자어,狎昵/狎暱,"한자 狎昵
/(병기) /
한자 狎暱
","「명사」
","매우 친하고 가까움.
"
압대맥,단어,한자어,壓大麥,"한자 壓大麥
","「명사」
","기계로 납작하게 누른 보리쌀.
"
압도,단어,한자어,壓度,"한자 壓度
","「명사」
","「1」압력의 정도.
「2」단위 면적에 작용하는 압력의 크기.
"
압도계,단어,한자어,鴨島契,"한자 鴨島契
","「명사」
","조선 시대에, 관아에 빗자루와 발을 공물로 바치던 계.
"
압동,단어,한자어,壓胴,"한자 壓胴
","「명사」
","인쇄판에서 잉크가 묻은 상(像)이 눌려 찍힌 실린더. 이 상이 인쇄용지에 전사(轉寫)된다.
"
압두,단어,한자어,壓頭,"한자 壓頭
","「명사」
","상대편을 누르고 첫째 자리를 차지함.
"
압란구,단어,한자어,鴨卵灸,"한자 鴨卵灸
","「명사」
","여러 개의 오리알을 깨뜨려 양념한 것을 대통 속에 넣어 삶은 뒤에 꺼내어 기름을 발라 구운 반찬.
"
압량,단어,한자어,壓良,"한자 壓良
","「명사」
","양민을 억눌러서 강제로 종으로 삼음.
"
압량군악,단어,한자어,押梁郡樂,"한자 押梁郡樂
","「명사」
","신라 때에, 압량군에서 불리던 노래. ‘백실02’(白實)이라고도 하며, 내지(內知)·덕사내·석남사내·사중(祀中)과 더불어 오늘날 풍물놀이의 효시로 알려져 있다.
"
압량위천,단어,한자어,壓良爲賤,"한자 壓良爲賤
","「명사」
","양민을 억눌러서 강제로 종으로 삼음.
"
압려기,단어,한자어,壓濾器,"한자 壓濾器
","「명사」
","압력으로 액체를 빨리 거르는 기구.
"
압력,단어,한자어,壓力,"한자 壓力
","「명사」
","「1」두 물체가 접촉면을 경계로 하여 서로 그 면에 수직으로 누르는 단위 면적에서의 힘의 단위. 그 크기의 단위로는 dyn/㎠ 외에 공학에서는 kgW/㎠를 사용하고, 기상학에서는 밀리바, 헥토파스칼 따위를 사용한다.
「2」권력이나 세력에 의하여 타인을 자기 의지에 따르게 하는 힘.
"
압력계,단어,한자어,壓力計,"한자 壓力計
","「명사」
","액체 또는 기체의 압력을 재는 기기를 통틀어 이르는 말. 부르동관은 한 개의 원호 형태를 이루고 있는데 관의 한쪽 끝은 압력원에, 다른 한쪽 끝은 링크에 연결되어 있다. 관은 내부 압력이 외부 압력보다 크면 펴지려고 하므로 지침이 돌아가고 압력은 원형의 눈금 위에 나타난다.
"
압력밥솥,단어,혼종어,壓力밥솥,"한자 壓力
고유어 밥솥
","「명사」
","뚜껑을 밀폐하여 용기 안의 압력을 높일 수 있는 밥솥. 
"
압력선,단어,한자어,壓力線,"한자 壓力線
","「명사」
","압력의 방향과 양을 나타내는 선. 보통 토목 공사 따위에 쓴다.
"
압력솥,단어,혼종어,壓力솥,"한자 壓力
고유어 솥
","「명사」
","뚜껑을 밀폐하여 용기 안의 압력을 높일 수 있는 솥. 온도가 100℃ 이상 올라가므로 빠른 시간 내에 조리를 할 수 있다.
"
압력차계,단어,한자어,壓力差計,"한자 壓力差計
","「명사」
","압력의 차이를 재는 계기.
"
압력칭,단어,한자어,壓力秤,"한자 壓力秤
","「명사」
","고압 측정용 압력계. 압력을 측정할 점을 피스톤이 설치된 원통에 연결하고, 피스톤의 밑면에 미치는 압력과 피스톤 및 그 위에 올려놓은 추의 무게를 합하여 잰다.
"
