어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
사오정,단어,한자어,沙悟淨,"한자 沙悟淨
","「명사」
","중국 명대의 장편 소설 ≪서유기≫에 나오는 괴물의 이름. 손오공, 저팔계와 함께 삼장(三藏)을 따라 천축으로 간다.
"
사옥,단어,고유어,,,"「명사」
","장미과의 낙엽 활엽 교목. 벚나무의 변종으로 벚나무와 비슷하나 잎자루, 꽃자루에 잔털이 있다. 봄에 연분홍 꽃이 산방(繖房) 화서로 피고 열매는 핵과(核果)로 6월에 익는다. 열매는 식용하고 정원수로 재배한다. 따뜻한 골짜기에서 자라는데 한국의 제주, 일본 등지에 분포한다.
"
사옥국,단어,한자어,司獄局,"한자 司獄局
","「명사」
","조선 시대에, 형벌을 맡아보던 토관직 관아. 평안도와 함경도에만 두었다.
"
사옥사,단어,한자어,司獄史,"한자 司獄史
","「명사」
","고려 시대에, 주(州)·부(府)·군(郡)·현(縣)에서 감옥에 관한 일을 맡아보던 구실. 사옥정의 아래이다.
"
사옥정,단어,한자어,司獄正,"한자 司獄正
","「명사」
","고려 시대에, 주(州)·부(府)·군(郡)·현(縣)에서 감옥에 관한 일을 맡아보던 벼슬.
"
사온,단어,한자어,四溫,"한자 四溫
","「명사」
","삼한 사온의 날씨에서 비교적 따뜻한 나흘 동안.
"
사온서,단어,한자어,司醞署,"한자 司醞署
","「명사」
","「1」고려 시대에, 궁중에서 쓰는 주류(酒類)에 관한 일을 맡아보던 관아. 충렬왕 34년(1308)에 양온서를 고친 것이다.
「2」조선 시대에, 궁중에서 쓰는 술의 공급을 맡아보던 관아. 태조 원년(1392)에 설치하여 조선 중엽에 없앴다.
"
사온일,단어,한자어,四溫日,"한자 四溫日
","「명사」
","삼한 사온의 날씨에서 비교적 따뜻한 나흘 동안.
"
사옹,단어,한자어,司饔,"한자 司饔
","「명사」
","조선 시대에, 궁중의 음식을 만들던 사람.
"
사옹극,단어,한자어,沙翁劇,"한자 沙翁劇
","「명사」
","셰익스피어의 희곡. 또는 그것을 연출한 연극.
"
사옹원,단어,한자어,司饔院,"한자 司饔院
","「명사」
","조선 시대에, 궁중의 음식에 관한 일을 맡아보던 관아. 이전의 사옹방(司饔房)을 고친 것으로, 고종 32년(1895)에 전선사로 고쳤다.
"
사와,단어,한자어,私瓦,"한자 私瓦
","「명사」
","사요에서 구워서 만든 기와.
"
사왕,단어,한자어,四王,"한자 四王
","「명사」
","「1」중국 청나라 초기의 왕씨 성을 가진 네 명의 화가. 왕시민, 왕감, 왕휘, 왕원기를 이른다.
「2」네 사람의 제왕. 흔히 중국 고대의 우(禹)·탕(湯)·문(文)·무(武) 또는 순(舜)·우·탕·무의 네 성왕(聖王)이나 걸(桀)·주(紂)·여(厲)·유(幽)의 네 악왕(惡王)을 이른다.
「3」사왕천(四王天)의 주신(主神)으로 사방을 진호(鎭護)하며 국가를 수호하는 네 신. 동쪽의 지국천왕, 남쪽의 증장천왕, 서쪽의 광목천왕, 북쪽의 다문천왕이다. 위로는 제석천을 섬기고 아래로는 팔부중(八部衆)을 지배하여 불법에 귀의한 중생을 보호한다.
"
사왕손,단어,한자어,四王孫,"한자 四王孫
","「명사」
","조선 시대 태조의 4조인 목조, 익조, 도조, 환조의 자손.
"
사왕오운,단어,한자어,四王吳惲,"한자 四王吳惲
","「명사」
","중국 청나라 초기에, 명나라 말기의 화가 동기창의 영향을 받아 정통 남종화의 전형을 이룬 여섯 화가. 곧 왕시민, 왕감, 왕휘, 왕원기, 오력(吳歷), 운수평(惲壽平)을 이른다.
"
사왕천,단어,한자어,四王天,"한자 四王天
","「명사」
","육욕천의 첫째 하늘. 수미산 중턱에 있는, 사천왕과 그 권속들이 사는 곳이다. 지국천, 증장천, 광목천, 다문천이 있어 위로는 제석천을 섬기고 아래로는 팔부중을 지배하여 불법에 귀의한 중생을 보호한다.
"
사외,단어,한자어,死畏,"한자 死畏
","「명사」
","죽음을 두려워하는 일.
"
사외공,단어,한자어,社外工,"한자 社外工
","「명사」
","지배 회사에 파견되어 그 회사의 건물이나 설비, 기계 따위를 이용하면서 일하는 하청 회사의 근로자.
"
사외보,단어,한자어,社外報,"한자 社外報
","「명사」
","기업이 대외 홍보를 목적으로 발행하여 외부에 무료로 배포하는 간행물.
"
