어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
송악,단어,고유어,,,"「명사」
","두릅나뭇과의 상록 활엽 덩굴성 식물. 공기뿌리로 다른 나무를 타고 올라가 자라며, 잎은 어긋나고 3~5개로 얕게 갈라진다. 가을에 누런 녹색 꽃이 산형(繖形) 화서로 피고, 열매는 핵과(核果)로 겨울에 검게 익는다. 줄기와 잎을 약재로 쓴다. 한국, 일본, 대만, 중국, 유럽, 아프리카 등지에 분포한다.
"
송악산,단어,한자어,松嶽山,"한자 松嶽山
","「명사」
","경기도 개성시 북쪽에 있는 산. 고려 시대의 궁터인 만월대가 있다. 높이는 488미터.
"
송안,단어,한자어,訟案,"한자 訟案
","「명사」
","송사의 내용과 과정을 적은 기록.
"
송암집,단어,한자어,松巖集,"한자 松巖集
","「명사」
","조선 숙종 때의 학자인 이재형(李載亨)의 시문집. 영조 34년(1758)에 간행하였다. 3권 3책.
"
송액,단어,한자어,松液,"한자 松液
","「명사」
","소나무의 뿌리를 자른 자리에서 흘러나오는 진.
"
송양공,단어,한자어,宋襄公,"한자 宋襄公
","「명사」
","중국 춘추 시대 송나라의 왕(?~B.C.637). 이름은 자부(玆父). 초나라와 홍(泓)에서 싸울 때 상대편에게 인정을 베풀다가 오히려 패하여 죽임을 당하였다. 뒤에 이를 두고 ‘송양지인’이라는 말이 생겼다.
"
송양나무,단어,혼종어,松楊나무,"한자 松楊
고유어 나무
","「명사」
","지칫과의 낙엽 교목. 높이는 15미터 정도이며, 잎은 어긋나고 거꾸로 된 피침 모양 또는 거꾸로 된 달걀 모양이다. 6~7월에 흰 꽃이 원추(圓錐) 화서로 피고, 열매는 핵과(核果)로 8~9월에 검은 갈색으로 익는다. 나무껍질은 염료로 쓰고 재목은 기구, 장식용으로 쓴다. 산기슭에 나는데 한국의 남쪽 섬 지역, 일본, 대만 등지에 분포한다.
"
송양지인,단어,한자어,宋襄之仁,"한자 宋襄之仁
","「명사」
","하찮은 인정을 이르는 말. 중국 춘추 시대에, 송나라 양공(襄公)이 초나라를 칠 때, 공자(公子) 목이(目夷)가 적이 포진하기 전에 치자고 청하였으나, 양공이 받아들이지 않고 적이 포진하기를 기다리다가 오히려 대패하여 세상 사람들이 비웃었다는 데서 유래한다.
"
송어,단어,한자어,松魚,"한자 松魚
","「명사」
","연어과의 바닷물고기. 몸의 길이는 60cm 정도이며, 등은 짙은 푸른색, 배는 은백색이다. 옆구리에 검은 밤색의 작은 점이 많고 눈알에 검은 반점이 흩어져 있다. 여름철 산란기에 강으로 올라와 알을 낳는데 한국, 일본 등지에 분포한다.
"
송어직산,단어,한자어,松魚直山,"한자 松魚直山
","「명사」
","함경남도 고원군 산곡면과 수동면 사이에 있는 산. 높이는 1,025미터.
"
송여지,단어,한자어,宋汝志,"한자 宋汝志
","「명사」
","중국 남송 영종 때의 화가(?~?). 호는 벽운(碧雲). 인물, 산수, 화조(花鳥)의 그림에 능하였다. 작품에 <농작도(籠雀圖)>가 있다.
"
송연,단어,한자어,松煙,"한자 松煙
","「명사」
","소나무를 태운 그을음. 먹을 만드는 재료로 쓴다.
"
