어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
일산량,단어,한자어,日産量,"한자 日産量
","「명사」
","하루 동안의 생산량.
"
일산보졸,단어,한자어,日傘步卒,"한자 日傘步卒
","「명사」
","임금이나 관원에게 일산을 받쳐 주면서 따라다니던 역졸(驛卒).
"
일산보종,단어,한자어,日傘步從,"한자 日傘步從
","「명사」
","임금이나 관원에게 일산을 받쳐 주면서 따라다니던 역졸(驛卒).
"
일산일수,단어,한자어,一山一水,"한자 一山一水
","「명사」
","하나의 산봉우리와 하나의 물줄기라는 뜻으로, 자연의 하나하나를 이르는 말.
"
일살다생,단어,한자어,一殺多生,"한자 一殺多生
","「명사」
","한 사람을 죽여서 많은 사람을 살림.
"
일삼매,단어,혼종어,일三昧,"고유어 일
한자 三昧
","「명사」
","아무 잡념이 없이 일에만 열중하는 일.
"
일삼복,단어,한자어,日三服,"한자 日三服
","「명사」
","같은 약을 하루에 세 번 먹음.
"
일삽우,단어,한자어,一霎雨,"한자 一霎雨
","「명사」
","한바탕 내리는 비.
"
일상,단어,한자어,一相,"한자 一相
","「명사」
","「1」차별이 없고 절대 평등한 진여(眞如)의 상.
「2」다른 것을 배척하고 오직 하나만을 고집하는 일. 일체법은 일원(一元)에서 생긴다고 하는 수론 외도(數論外道) 따위의 견해이다.
"
일상관,단어,한자어,日想觀,"한자 日想觀
","「명사」
","십육관의 하나. 지는 해를 보고 극락을 관상(觀想)하는 방법이다.
"
일상군악,단어,한자어,日上郡樂,"한자 日上郡樂
","「명사」
","신라 때에, 일상군 지방에서 유행하던 노래. 내지(內知)라고도 하는데, 백실(白實)·덕사내(德思內)·석남사내(石南思內)·사중(祀中)과 더불어 오늘날 풍물놀이의 시초로 본다.
"
일상다반,단어,한자어,日常茶飯,"한자 日常茶飯
","「명사」
","항상 있는 차와 밥이라는 뜻으로, 항상 있어 이상하거나 신통할 것이 없음을 이르는 말.
"
일상다반사,단어,한자어,日常茶飯事,"한자 日常茶飯事
","「명사」
","차를 마시고 밥을 먹는 일이라는 뜻으로, 보통 있는 예사로운 일을 이르는 말.
"
일상복,단어,한자어,日常服,"한자 日常服
","「명사」
","일상생활에서 또는 일상적으로 입는 옷.
"
일상사,단어,한자어,日常事,"한자 日常事
","「명사」
","날마다 또는 늘 있는 일.
"
일상생활,단어,한자어,日常生活,"한자 日常生活
","「명사」
","평상시의 생활.
"
일상성,단어,한자어,日常性,"한자 日常性
","「명사」
","「1」인간 본연의 자세.
「2」날마다 반복되는 성질.
「3」현존재의 비본래적인 모습. 하이데거의 존재론에서 사용된 용어이다.
"
일상일영,단어,한자어,一觴一詠,"한자 一觴一詠
","「명사」
","시를 읊으며 술을 마심.
"
일상일하,단어,한자어,一上一下,"한자 一上一下
","「명사」
","혹은 오르고 혹은 내림.
"
일상한,단어,한자어,一象限,"한자 一象限
","「명사」
","사분원이나 사분면의 첫째 부분. 0도에서 90도 사이이다.
"
일상화,단어,한자어,日常化,"한자 日常化
","「명사」
","날마다 늘 있는 일이 됨. 또는 그렇게 만듦.
"
일새,단어,고유어,,,"「명사」
","일하는 솜씨. 또는 일을 해 놓은 솜씨.
"
일색,단어,한자어,一色,"한자 一色
","「명사」
","「1」한 가지의 빛깔.
「2」뛰어난 미인.
「3」그 한 가지로만 이루어진 특색이나 정경.
"
일색고사리,단어,혼종어,一色고사리,"한자 一色
고유어 고사리
","「명사」
","면마과의 상록 여러해살이풀. 잎은 빽빽하게 나는데 잎몸은 타원형이고 끝이 뾰족하다. 갈라진 잎 조각은 12~15쌍으로서 홀씨주머니가 달리지 않은 것은 앞뒤의 빛이 같고 뾰족한 톱니가 있다. 습지에서 자라는데 우리나라 울릉도와 제주에 분포한다.
"
일생,단어,한자어,一生,"한자 一生
","「명사」
","세상에 태어나서 죽을 때까지의 동안.
"
