어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
창틀,단어,혼종어,窓틀,"한자 窓
고유어 틀
","「명사」
","창문을 달기 위한 틀.
"
창틈,단어,혼종어,窓틈,"한자 窓
고유어 틈
","「명사」
","창문과 벽 사이에 나 있는 매우 좁은 공간. 또는 창문을 조금 열었을 때 생기는 틈.
"
창파,단어,한자어,滄波,"한자 滄波
","「명사」
","넓고 큰 바다의 맑고 푸른 물결.
"
창포,단어,한자어,菖蒲,"한자 菖蒲
","「명사」
","「1」천남성과의 여러해살이풀. 높이는 70~100cm이며, 온몸에 향기가 있다. 뿌리줄기는 통통하고 마디가 많으며, 잎은 뿌리줄기에서 뭉쳐나고 가는 선 모양이다. 6~7월에 연한 노란색을 띤 녹색 꽃이 꽃줄기 끝에 수상(穗狀) 화서로 피고 열매는 긴 타원형의 붉은 장과(漿果)를 맺는다. 뿌리는 약용하고 단오에 창포물을 만들어 머리를 감거나 술을 빚는다. 연못이나 도랑의 가장자리에서 자라는데 한국, 일본, 동아시아, 시베리아, 말레이시아, 인도, 북아메리카 등지에 분포한다.
「2」‘석창포「1」’의 뿌리. 의식이 혼미하거나 소화 불량, 건망증 따위에 쓴다.
"
창포강,단어,혼종어,Tsangpo江,"안 밝힘 Tsangpo
한자 江
","「명사」
","중국 시짱 자치구의 남부를 흐르는 강. 히말라야산맥 서부에서 시작하여 인도의 아삼(Assam)으로 흘러든다. 길이는 1,450km.
"
창포근,단어,한자어,菖蒲根,"한자 菖蒲根
","「명사」
","‘석창포「1」’의 뿌리. 의식이 혼미하거나 소화 불량, 건망증 따위에 쓴다.
"
창포물,단어,혼종어,菖蒲물,"한자 菖蒲
고유어 물
","「명사」
","창포의 잎과 뿌리를 우려낸 물. 단오에 머리를 감거나 몸을 씻는 데 쓴다.
"
창포병,단어,한자어,菖蒲餠,"한자 菖蒲餠
","「명사」
","석창포, 백출, 산약 따위를 곱게 가루로 낸 것을 쌀가루와 섞어 꿀을 쳐 만든 떡.
"
창포비녀,단어,혼종어,菖蒲비녀,"한자 菖蒲
고유어 비녀
","「명사」
","창포 뿌리를 깎아 만든 비녀. 단오에 부녀자들이 역병을 물리치려는 액땜으로 꽂았다.
"
창포잠,단어,한자어,菖蒲簪,"한자 菖蒲簪
","「명사」
","창포 뿌리를 깎아 만든 비녀. 단오에 부녀자들이 역병을 물리치려는 액땜으로 꽂았다.
"
창포주,단어,한자어,菖蒲酒,"한자 菖蒲酒
","「명사」
","창포를 넣어 빚은 술.
"
창포탕,단어,한자어,菖蒲湯,"한자 菖蒲湯
","「명사」
","창포의 잎과 뿌리를 우려낸 물. 단오에 머리를 감거나 몸을 씻는 데 쓴다.
"
창피,단어,한자어,猖披,"한자 猖披
","「명사」
","체면이 깎이는 일이나 아니꼬운 일을 당함. 또는 그에 대한 부끄러움.
"
창하,단어,한자어,倉荷,"한자 倉荷
","「명사」
","곳집 안에 들어 있는 하물.
"
창학,단어,한자어,創學,"한자 創學
","「명사」
","학교 따위의 교육 기관을 처음으로 이루어 시작함.
"
창한,단어,한자어,悵恨,"한자 悵恨
","「명사」
","원망스럽고 한스러움.
"
창합,단어,한자어,閶闔,"한자 閶闔
","「명사」
","궁궐의 정문.
"
창합풍,단어,한자어,閶闔風,"한자 閶闔風
","「명사」
","서쪽에서 불어오는 바람.
"
창해,단어,한자어,滄海,"한자 滄海
","「명사」
","넓고 큰 바다.
"
창해군,단어,한자어,滄海郡,"한자 滄海郡
","「명사」
","지금의 강원도 지방에 두었던 행정 구역. 중국 한(漢)나라 무제가 기원전 128년에 동예(東濊) 지방을 정복하고 그곳에 두었는데, 동예인들의 반항 때문에 곧 없앴다.
"
창해상전,단어,한자어,滄海桑田,"한자 滄海桑田
","「명사」
","뽕나무밭이 변하여 푸른 바다가 된다는 뜻으로, 세상일의 변천이 심함을 비유적으로 이르는 말.
"
창해유주,단어,한자어,滄海遺珠,"한자 滄海遺珠
","「명사」
","넓고 큰 바닷속에 캐어지지 않은 채 남아 있는 진주라는 뜻으로, 세상에 미처 알려지지 않은 드물고 귀한 보배나, 덕과 지혜가 높은 어진 사람을 이르는 말. ≪당서≫에 나오는 말이다.
"
창해일속,단어,한자어,滄海一粟,"한자 滄海一粟
","「명사」
","넓고 큰 바닷속의 좁쌀 한 알이라는 뜻으로, 아주 많거나 넓은 것 가운데 있는 매우 하찮고 작은 것을 이르는 말. 중국 북송의 문인 소식의 <전적벽부(前赤壁賦)>에 나오는 말이다.
"
창현,단어,한자어,彰顯,"한자 彰顯
","「명사」
","널리 알리어 세상에 드러냄.
"
창호,단어,한자어,窓戶,"한자 窓戶
","「명사」
","온갖 창과 문을 통틀어 이르는 말.
"
창호재,단어,한자어,窓戶材,"한자 窓戶材
","「명사」
","창문, 문틀, 문살 따위를 만드는 재료. 목재, 철재, 알루미늄재, 플라스틱재 따위가 있다.
"
창호지,단어,한자어,窓戶紙,"한자 窓戶紙
","「명사」
","「1」주로 문을 바르는 데 쓰는 얇은 종이.
「2」빛깔이 조금 누르스름하고 줄 진 결이 또렷한 재래식 종이. 대호지와 비슷하다.
"
창혼,단어,한자어,唱魂,"한자 唱魂
","「명사」
","무당굿에서, 죽은 사람의 혼을 부르는 일.
"
창화,단어,한자어,倉貨,"한자 倉貨
","「명사」
","창고에 넣어 둔 화물.
"
창황,단어,한자어,蒼黃/倉皇,"한자 蒼黃
/(병기) /
한자 倉皇
","「명사」
","미처 어찌할 사이 없이 매우 급작스러움.
"
창황망조,단어,한자어,蒼黃罔措,"한자 蒼黃罔措
","「명사」
","너무 급하여 어찌할 수가 없음.
"
창황분주,단어,한자어,蒼黃奔走,"한자 蒼黃奔走
","「명사」
","마음이 너무 급하여 이리저리 바쁘고 수선스러움.
"
창황실색,단어,한자어,𢠵怳失色,"한자 𢠵怳失色
","「명사」
","몹시 놀라 얼굴빛이 질림.
"
창회,단어,한자어,悵懷,"한자 悵懷
","「명사」
","섭섭한 회포.
"
창휘,단어,한자어,昌徽,"한자 昌徽
","「명사」
","조선 세종 때의 <보태평지악> 열한 곡 가운데 여덟째 곡.
"
창흑,단어,한자어,蒼黑,"한자 蒼黑
","「명사」
","푸른빛을 띤 검은빛.
"
창흑빛,단어,혼종어,蒼黑빛,"한자 蒼黑
고유어 빛
","「명사」
","푸른빛을 띤 검은빛.
"
창흔,단어,한자어,瘡痕,"한자 瘡痕
","「명사」
","부스럼이 났던 자국이나, 칼에 다친 흉터.
"
창희,단어,한자어,唱戲,"한자 唱戲
","「명사」
","전통적인 판소리나 그 형식을 빌려 만든 가극(歌劇). 여러 사람들이 배역을 맡아 창(唱)을 중심으로 극을 전개하는 것으로, 20세기 초 협률사에서 판소리를 무대화하고 판소리에 등장하는 각 인물에 전담 배역을 붙여 노래와 연기를 하게 한 것을 계기로 발달하였다.
"
