어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
제면,단어,한자어,除免,"한자 除免
","「명사」
","책임이나 의무 따위를 면하여 줌.
"
제면기,단어,한자어,製麵機,"한자 製麵機
","「명사」
","국수를 눌러 빼는 틀. 재래식에는 반죽을 넣는 분통과 그에 맞는 공이가 있어 누르면 국수 가닥이 빠져나오게 되어 있다.
"
제멸,단어,한자어,除滅,"한자 除滅
","「명사」
","송두리째 없앰.
"
제명,단어,혼종어,제命,"고유어 제
한자 命
","「명사」
","타고난 자기의 목숨.
"
제명록,단어,한자어,題名錄,"한자 題名錄
","「명사」
","예전에, 과거에 급제한 사람의 이름을 적어 두던 장부.
"
제명울이,단어,고유어,,,"「명사」
","→ 계명워리.
"
제명첩,단어,한자어,祭名帖,"한자 祭名帖
","「명사」
","제향에 제관으로 뽑힌 사람의 관직과 성명을 적은 책.
"
제모,단어,한자어,制帽,"한자 制帽
","「명사」
","학교, 관청, 회사 따위에서 정하여진 규정에 따라 쓰도록 한 모자.
"
제목,단어,한자어,除目,"한자 除目
","「명사」
","이조나 병조에서, 임금이 제수한 관리들의 명단을 적은 목록.
"
제목지건,단어,한자어,題目之件,"한자 題目之件
","「명사」
","수제의 건이라는 뜻으로, 글의 첫머리에 쓰는 제목을 이르는 말.
"
제묘,단어,한자어,帝廟,"한자 帝廟
","「명사」
","천자의 사당.
"
제문,단어,한자어,制門,"한자 制門
","「명사」
","부처가 중생의 악의 제지(制止)에 관하여 설도한 가르침.
"
제물,단어,고유어,,,"「명사」
","「1」음식을 익힐 때 처음부터 부어 둔 물.
「2」그 자체에서 우러난 물.
「3」다른 것이 섞이지 않은 순수한 물건.
"
제물국수,단어,고유어,,,"「명사」
","국수 삶은 국물을 갈지 않고 그대로 먹는 국수.
"
제물낚시,단어,고유어,,,"「명사」
","깃털로 모기 모양으로 만든 낚싯바늘.
"
제물땜,단어,고유어,,,"「명사」
","「1」깨어진 쇠붙이 그릇에 덧조각을 대지 않고 같은 쇠붙이를 녹여서 붙이는 땜.
「2」뚫어진 물건에 같은 종류의 조각을 대어 깁는 일.
「3」어떤 일을 하는 김에 다른 일까지 함께 끝내는 일.
"
제물론,단어,한자어,齊物論,"한자 齊物論
","「명사」
","중국 고대의 사상가인 장자의 중심 사상. 또는 그의 저서인 ≪장자≫의 제2편의 편명(篇名). 모든 사물의 진위 시비를 다루는 논의를 상대적인 것으로 보고 이러한 잡다한 논의를 다스려 절대 근원적인 하나의 경지로 돌아가 만물 일체의 무차별 평등 상태에 도달하는 것이 수양의 목표가 된다고 하였다.
"
제물묵,단어,고유어,,,"「명사」
","물에 불린 녹두를 전대에 담아 짜서 그 물로 쑤어 굳힌 묵.
"
제물물부리,단어,고유어,,,"「명사」
","지궐련 한끝에 제물로 붙여 만든 물부리.
"
제물상,단어,한자어,祭物床,"한자 祭物床
","「명사」
","제사를 지낼 때 제물을 벌여 놓는 상.
"
제물장,단어,혼종어,제물欌,"고유어 제물
한자 欌
","「명사」
","방이나 마루, 부엌 따위에 붙박이로 짜 놓은 장.
"
제물포,단어,한자어,濟物浦,"한자 濟物浦
","「명사」
","‘인천02’의 옛 이름.
"
제물포숲모기,단어,혼종어,濟物浦숲모기,"한자 濟物浦
고유어 숲모기
","「명사」
","모깃과의 곤충. 몸의 빛깔은 검은색이다. 사람과 짐승의 피를 빨아 먹는데 일본 뇌염균을 퍼뜨리는 매개체이다.
"
제미,단어,한자어,祭米,"한자 祭米
","「명사」
","제사 때 올릴 밥을 지으려고 마련한 쌀.
"
제민,단어,한자어,齊民,"한자 齊民
","「명사」
","일반 백성.
"
제민요술,단어,한자어,齊民要術,"한자 齊民要術
","「명사」
","중국 북위(北魏)의 가사협(賈思勰)이 지은 농서(農書). 6세기 전반에 펴낸 것으로 보이며 오늘날 전하는 농서 가운데 가장 오래된 완본(完本)이다. 곡물류의 재배법, 가축의 사육법, 술과 된장의 양조법 따위를 체계적으로 기술하였다. 조, 수수로 대표되는 화베이(華北)의 건조 농법을 전하는 중요한 자료이다. 10권 92편.
"
제민창,단어,한자어,濟民倉,"한자 濟民倉
","「명사」
","조선 영조 39년(1763)에 남쪽 지방에 둔 구호 사업 기관. 춘궁기에 농민들에게 곡물을 저리(低利)로 빌려주고 추수기에 받아들였다.
"
제밀집,단어,고유어,,,"「명사」
","수영 야유, 동래 야유, 통영 오광대, 마산 오광대놀이 따위에 등장하는 인물의 하나. 영감의 첩 역으로 할미 과장에 등장한다.
"
제밑동생,단어,고유어,,,"「명사」
","성별이 같은, 자기 바로 밑의 동생.
"
제바닥,단어,고유어,,,"「명사」
","「1」물건 자체의 본바닥.
「2」자기가 태어나면서부터 살고 있는 고장.
"
제바달다,단어,한자어,提婆達多,"한자 提婆達多
","「명사」
","‘데바닷타’의 음역어.
"
제바달다품,단어,한자어,提婆達多品,"한자 提婆達多品
","「명사」
","법화경 28품 가운데 제12품. 석가모니가 옛날에 제바달다의 전신(前身)인 아사(阿私) 선인을 받들었던 일, 제바달다가 삼역죄(三逆罪)를 짓고 무간지옥에 떨어졌으나 뒤에 성불한 일, 그리고 8세의 용녀(龍女)가 문수보살의 교화로 현신 성불 한 일 따위가 기록되어 있다.
"
제바라밀,단어,한자어,諸波羅蜜,"한자 諸波羅蜜
","「명사」
","모든 바라밀. 육바라밀, 십바라밀 따위를 통틀어 이른다.
"
제바람,단어,고유어,,,"「명사」
","스스로의 행동에서 생긴 영향.
"
제바품,단어,한자어,提婆品,"한자 提婆品
","「명사」
","법화경 28품 가운데 제12품. 석가모니가 옛날에 제바달다의 전신(前身)인 아사(阿私) 선인을 받들었던 일, 제바달다가 삼역죄(三逆罪)를 짓고 무간지옥에 떨어졌으나 뒤에 성불한 일, 그리고 8세의 용녀(龍女)가 문수보살의 교화로 현신 성불 한 일 따위가 기록되어 있다.
"
제박,단어,한자어,制縛,"한자 制縛
","「명사」
","제재하여 자유를 속박함.
"
제반,단어,한자어,除飯,"한자 除飯
","「명사」
","끼니때마다 밥 먹기 전에 밥을 조금 떼어서 신(神)에게 감사의 뜻을 표하는 일.
"
제반미,단어,한자어,祭飯米,"한자 祭飯米
","「명사」
","제사 때 올릴 밥을 지으려고 마련한 쌀.
"
제반사,단어,한자어,諸般事,"한자 諸般事
","「명사」
","어떤 것과 관련된 모든 일.
"
제반악증,단어,한자어,諸般惡症,"한자 諸般惡症
","「명사」
","여러 가지 악한 증세.
"
제발,단어,한자어,提拔,"한자 提拔
","「명사」
","여러 사람 가운데서 쓸 사람을 뽑음.
"
제방,단어,한자어,制防,"한자 制防
","「명사」
","제어하여 막음.
"
제방뚝,단어,혼종어,堤防뚝,"한자 堤防
고유어 뚝
","「명사」
","→ 제방02.
"
제배,단어,한자어,除拜,"한자 除拜
","「명사」
","추천의 절차를 밟지 않고 임금이 직접 벼슬을 내리던 일.
"
제배간,단어,한자어,儕輩間,"한자 儕輩間
","「명사」
","나이나 신분 따위가 서로 같거나 비슷한 사람들 사이.
"
제배부채,단어,고유어,,,"「명사」
","껍질과 알맹이의 빛이 희고 조금 굵은 팥.
"
제배지간,단어,한자어,儕輩之間,"한자 儕輩之間
","「명사」
","나이나 신분 따위가 서로 같거나 비슷한 사람들 사이.
"
제백사,단어,한자어,除百事,"한자 除百事
","「명사」
","한 가지 일에만 전력하기 위하여 다른 일은 다 제쳐 놓음.
"
제번,단어,한자어,除番,"한자 除番
","「명사」
","번차례를 면하여 그만둠.
"
제번지,단어,한자어,諸蕃誌,"한자 諸蕃誌
","「명사」
","15세기 초에 중국 송나라의 조여괄(趙如适)이 지은 지리서. 주거비(周去非)가 지은 ≪영외대답(嶺外代答)≫의 해외 제국 기사를 토대로 자신의 견문과 여러 문헌을 참고하여 송나라와 교섭이 있었던 동남아시아 및 서남아시아, 인도, 아프리카, 지중해 연안 여러 나라의 풍토, 물산, 교역 따위에 관하여 서술하였다. 2권.
"
제벌,단어,한자어,除伐,"한자 除伐
","「명사」
","필요 없는 나무나 나뭇가지를 베어 버림.
"
제범,단어,한자어,帝範,"한자 帝範
","「명사」
","중국 당나라 태종이 648년에 친히 편찬하여 태자인 고종에게 하사한 책. 수신 치국의 중요함을 해설하고 군체(君體), 구현(求賢), 납간(納諫), 상벌(賞罰) 따위의 12편으로 나누어 제왕으로서의 모범이 되어야 할 사항을 적었다. 4권 12편.
"
제법,단어,한자어,除法,"한자 除法
","「명사」
","나눗셈을 하는 방법.
"
제법개공,단어,한자어,諸法皆空,"한자 諸法皆空
","「명사」
","이 세상에 존재하는 모든 사물은 인연으로 생겼으며 변하지 않는 참다운 자아의 실체는 존재하지 않는다는 생각.
"
제법무아,단어,한자어,諸法無我,"한자 諸法無我
","「명사」
","이 세상에 존재하는 모든 사물은 인연으로 생겼으며 변하지 않는 참다운 자아의 실체는 존재하지 않는다는 생각.
"
제법무아인,단어,한자어,諸法無我印,"한자 諸法無我印
","「명사」
","삼법인(三法印)의 하나. 모든 법이 실재(實在)하는 것은 아니라고 설파하는 교리를 이른다.
"
제벽,단어,한자어,題壁,"한자 題壁
","「명사」
","시문(詩文)을 지어 벽에 씀.
"
제병,단어,고유어,,,"「명사」
","전병만 한 큰 무늬가 있는 비단.
"
제병연명,단어,한자어,除病延命,"한자 除病延命
","「명사」
","병을 물리쳐 목숨을 연장함.
"
제병연합,단어,한자어,諸兵聯合,"한자 諸兵聯合
","「명사」
","여러 전술적 병과(兵科)나 군대를 서로 결합하는 일. 또는 그런 편성체.
"
제병원후론,단어,한자어,諸病源候論,"한자 諸病源候論
","「명사」
","610년 무렵에 중국 수나라의 소원방(巢元方) 등이 양제의 명에 따라 편찬한 의서(醫書). 널리 병명을 들어 증상을 기술하고 병의 원인을 논하였다. 50권.
"
제보,단어,한자어,提報,"한자 提報
","「명사」
","정보를 제공함.
"
제보자,단어,한자어,提報者,"한자 提報者
","「명사」
","정보를 제공하는 사람.
"
제복,단어,한자어,制服,"한자 制服
","「명사」
","학교나 관청, 회사 따위에서 정하여진 규정에 따라 입도록 한 옷.
"
제복살,단어,고유어,,,"「명사」
","소의 갈비에 붙은 고기.
"
제본,단어,한자어,製本,"한자 製本
","「명사」
","「1」낱장으로 되어 있는 원고나 화고(畫稿), 인쇄물, 백지 따위를 차례에 따라 실이나 철사로 매고 표지를 붙여 한 권의 책으로 꾸미는 일.
「2」만든 물건의 본보기.
"
제본공,단어,한자어,製本工,"한자 製本工
","「명사」
","인쇄물을 묶고 표지를 붙여 책으로 만드는 일을 맡아 하는 사람.
"
제본사,단어,한자어,除本仕,"한자 除本仕
","「명사」
","벼슬아치가 어떤 직무를 겸임하게 되었을 때, 잠시 본직의 사무를 보지 않도록 면제하여 주던 일.
"
제본소,단어,한자어,製本所,"한자 製本所
","「명사」
","제본하는 일을 전문적으로 하는 곳.
"
제봉,단어,한자어,制俸,"한자 制俸
","「명사」
","녹봉을 정함.
"
제부,단어,한자어,弟夫,"한자 弟夫
","「명사」
","언니가 여동생의 남편을 이르거나 부르는 말.
"
제부도,단어,한자어,濟扶島,"한자 濟扶島
","「명사」
","경기도 화성시 서신면에 속하는 섬. 김, 굴 양식업이 발달하였으며 조기, 새우 따위가 많이 잡힌다. 면적은 0.98㎢.
"
제부수,단어,혼종어,제部首,"고유어 제
한자 部首
","「명사」
","한자 자전에서 글자 자체가 부수인 글자. 日, 水, 火 따위이다.
"
제분,단어,한자어,製粉,"한자 製粉
","「명사」
","곡식이나 약재 따위를 빻아서 가루로 만듦. 특히 밀을 밀가루로 만드는 일을 가리킨다.
"
제분기,단어,한자어,製粉機,"한자 製粉機
","「명사」
","곡식이나 약재 따위를 가루로 만드는 기계.
"
제분소,단어,한자어,製粉所,"한자 製粉所
","「명사」
","곡식이나 약재 따위를 가루로 만드는 일을 전문으로 하는 곳.
"
제분업,단어,한자어,製粉業,"한자 製粉業
","「명사」
","밀을 밀가루로 만드는 가공업.
"
제불,단어,한자어,諸佛,"한자 諸佛
","「명사」
","모든 부처.
"
제붙이,단어,고유어,,,"「명사」
","혈통이 같은 가까운 겨레붙이.
"
제비,단어,고유어,,,"「명사」
","여럿 가운데 어느 하나를 골라잡게 하여 거기에 미리 적어 놓은 기호나 글에 따라 승부나 차례 따위를 결정하는 방법. 또는 그것에 쓰는 종이나 물건.
"
제비가,단어,혼종어,제비歌,"고유어 제비
한자 歌
","「명사」
","팔잡가의 하나. 사설은 판소리 <춘향가>에서 사랑가의 첫대목, <흥부가>에서 제비 후리러 나가는 장면, 새타령의 한 구절 따위로 이루어진다.
"
제비가별조,단어,혼종어,제비歌別調,"고유어 제비
한자 歌別調
","「명사」
","‘제비가’를 달리 이르는 말.
"
제비갈매기,단어,고유어,,,"「명사」
","갈매깃과의 바닷새. 몸의 길이는 33cm 정도이며 회색빛을 띤 흰색이다. 등은 푸른빛을 띤 회색, 머리와 부리는 검은색이다. 부리는 가늘고 꼬리는 날카롭게 갈라져 있다. 겨울새로 한국, 일본, 중국, 사할린, 시베리아 동부, 캐나다 등지에서 번식하고 오스트레일리아, 남아메리카 등지에서 겨울을 보낸다.
"
제비고깔,단어,고유어,,,"「명사」
","미나리아재빗과의 여러해살이풀. 잎은 어긋나고 여러 개의 선 모양으로 갈라진다. 7~8월에 보라색 꽃이 총상(總狀) 화서로 가지 끝에 피고 열매는 골돌과(蓇葖果)로 9월에 익는다. 관상용으로 재배하기도 하며 평안, 함경에 분포한다.
"
제비꼬리고사리,단어,고유어,,,"「명사」
","처녀고사릿과의 여러해살이풀. 뿌리줄기는 옆으로 뻗으며 잎은 길고 깃 조각은 꼬리처럼 길게 뾰족하다.
"
제비꽃,단어,고유어,,"고유어 
","「명사」
","「1」제비꽃과의 식물을 통틀어 이르는 말.
「2」제비꽃과의 여러해살이풀. 높이는 12cm 정도이며 잎은 뿌리에서 뭉쳐나고 피침 모양이다. 4~5월에 자주색의 꽃이 잎 사이에서 나온 꽃줄기 끝에 한 개씩 옆을 향하여 피고 열매는 삭과(蒴果)이다. 어린잎은 식용한다. 한국, 일본, 중국, 시베리아 동부 등지에 분포한다.
"
제비꽃과,단어,혼종어,제비꽃科,"고유어 제비꽃
한자 科
","「명사」
","쌍떡잎식물 갈래꽃류의 한 과. 대개 초본이나 간혹 관목도 있으며 꽃받침조각, 꽃잎, 수술이 5개씩이고 열매는 삭과(蒴果)이다. 전 세계에 20속 800여 종이 분포하는데, 우리나라에는 제비꽃속의 40여 종이 자란다.
"
제비꿀,단어,고유어,,,"「명사」
","단향과의 여러해살이풀. 높이는 10~25cm이며 잎은 어긋나고 좁고 길다. 5~8월에 연한 녹색 꽃이 잎겨드랑이에 한 개씩 피고 둥근 열매가 열린다. 한국, 일본, 중국 등지에 분포한다.
"
제비나비,단어,고유어,,,"「명사」
","호랑나빗과의 곤충. 편 날개의 길이는 8~14cm이며 검은색이고 금빛 녹색의 광택이 나는 작은 비늘무늬가 있다. 뒷날개 바깥쪽에 수컷은 푸른색, 암컷은 붉은색의 반달 모양의 무늬가 줄지어 있다. 한국, 일본, 대만, 중국, 인도차이나, 미얀마 등지에 분포한다.
"
