어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
벅석,단어,고유어,,,"「명사」
","→ 법석01.
"
벅수,단어,고유어,,,"「명사」
","‘장승’을 달리 이르는 말.
"
벅수머리,단어,고유어,,,"「명사」
","돌로 만든 할아버지라는 뜻으로, 제주도에서 안녕과 질서를 수호하여 준다고 믿는 수호 석신.
"
번가,단어,한자어,番價,"한자 番價
","「명사」
","번(番)을 서는 대신에 바치던 돈.
"
번가루,단어,고유어,,,"「명사」
","곡식의 가루를 반죽할 때에 물손을 맞추어 가며 덧치는 가루.
"
번각,단어,한자어,飜刻,"한자 飜刻
","「명사」
","한 번 새긴 책판을 본보기로 삼아 그 내용을 다시 새김.
"
번각물,단어,한자어,飜刻物,"한자 飜刻物
","「명사」
","한 번 새긴 책판을 본보기로 삼아 그 내용을 다시 새긴 책.
"
번각본,단어,한자어,飜刻本,"한자 飜刻本
","「명사」
","한 번 새긴 책판을 본보기로 삼아 그 내용을 다시 새긴 책.
"
번각서,단어,한자어,飜刻書,"한자 飜刻書
","「명사」
","한 번 새긴 책판을 본보기로 삼아 그 내용을 다시 새긴 책.
"
번각질,단어,고유어,,,"「명사」
","→ 뒤집개질.
"
번간,단어,한자어,煩簡,"한자 煩簡
","「명사」
","번거로움과 간략함.
"
번간본,단어,한자어,飜刊本,"한자 飜刊本
","「명사」
","번각한 판으로 출판한 책.
"
번갈,단어,한자어,煩渴,"한자 煩渴
","「명사」
","가슴이 답답하고 열이 나며 목이 마르는 증상.
"
번갈증,단어,한자어,煩渴症,"한자 煩渴症
","「명사」
","‘다음증’의 전 용어.
"
번개,단어,고유어,,,"「명사」
","「1」구름과 구름, 구름과 대지 사이에서 공중 전기의 방전이 일어나 번쩍이는 불꽃.
「2」동작이 아주 빠르고 날랜 사람이나 사물을 비유적으로 이르는 말.
"
번개곤두,단어,고유어,,,"「명사」
","「1」아주 날쌔게 하는 곤두박질.
「2」남사당패의 땅재주 놀이의 하나. 재빨리 공중회전을 돈다.
"
번개딸딸이,단어,고유어,,,"「명사」
","‘전화기’를 속되게 이르는 말.
"
번개매미충,단어,혼종어,번개매미蟲,"고유어 번개매미
한자 蟲
","「명사」
","매미충과의 하나. 편 날개의 길이는 4mm 정도이며, 연한 황색이고 작은 매미 모양인데 등에 뚜렷한 번갯불 모양의 무늬가 있다. 벼, 소나무 따위의 해충으로 따뜻한 지방에 분포하는데 우리나라에서도 발견되었다.
"
번개무늬,단어,고유어,,,"「명사」
","발이나 돗자리, 그 밖의 기물 따위의 가장자리에 직선을 이리저리 꺾어서 번개 모양을 나타낸 무늬.
"
