어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
먹물주머니,단어,고유어,,,"「명사」
","문어나 낙지 따위에서, 먹물이 들어 있는 주머니.
"
먹바지,단어,고유어,,,"「명사」
","검정 바지를 속되게 이르는 말.
"
먹바퀴,단어,고유어,,,"「명사」
","왕바큇과의 곤충. 몸의 길이는 2.6~3cm이며, 짙은 밤색이다. 머리는 앞가슴에 가려 전혀 나타나지 않고 더듬이는 몸의 길이보다 길다. 집 안의 뜰, 부엌에 사는데 한국, 일본 등지에 분포한다.
"
먹반달,단어,혼종어,먹半달,"고유어 먹
한자 半
고유어 달
","「명사」
","반달 모양의 검은 종이를 머리에 붙인 연.
"
먹받침,단어,고유어,,,"「명사」
","→ 묵상01.
"
먹방,단어,혼종어,먹房,"고유어 먹
한자 房
","「명사」
","먹물을 뿌린 듯이 캄캄한 방이라는 뜻으로, 불을 켜지 않아 몹시 어두운 방을 이르는 말.
"
먹버꾸,단어,고유어,,,"「명사」
","농악 십이채 가운데, 버꾸만 치고 노는 놀이. 또는 그 가락.
"
먹버꾸윗놀이,단어,고유어,,,"「명사」
","경상남도 사천 풍물놀이 판굿의 하나. 징을 치지 않고 꽹과리가 잦은 다드래기를 치면 버꾸재비들이 다 같이 상모돌리기를 한다.
"
먹병,단어,혼종어,먹甁,"고유어 먹
한자 甁
","「명사」
","먹물을 담는 병.
"
먹보,단어,고유어,,,"「명사」
","밥을 많이 먹는 사람을 놀림조로 이르는 말.
"
먹보말이,단어,고유어,,,"「명사」
","밤고둥과의 하나. 껍데기는 달걀 모양으로 매끄러우며, 광택이 있고 자홍색의 띠가 있다. 조간대의 바위 따위에 사는데 한국, 일본, 태평양 등지에 분포한다.
"
먹부전나비,단어,고유어,,,"「명사」
","부전나빗과의 곤충. 편 날개의 길이는 2.2~2.5cm이다. 날개 앞면이 검은 갈색이고 바깥 테두리에 푸른 남색의 테두리가 줄지어 있으며 뒷면은 어두운 회색에 검은색 점무늬가 있다. 애벌레는 꿩의비름 따위의 잎을 먹는다. 한국, 중국, 시베리아 등지에 분포한다.
"
먹붓,단어,고유어,,,"「명사」
","먹물에 찍어서 글씨를 쓰는 붓.
"
먹붕장어,단어,혼종어,먹붕長魚,"고유어 먹붕
한자 長魚
","「명사」
","붕장어과의 바닷물고기. 머리 아래쪽에 검은 얼룩점이 있다. 한국, 일본 등지에 분포한다.
"
먹빛,단어,고유어,,,"「명사」
","먹물의 빛깔과 같은 검은빛.
"
먹사과,단어,고유어,,,"「명사」
","참외의 하나. 빛은 검으나 달고 맛이 좋다.
"
먹사진,단어,혼종어,먹寫眞,"고유어 먹
한자 寫眞
","「명사」
","먹으로 비문(碑文), 물고기 따위의 본을 뜬 것.
"
먹새,단어,고유어,,,"「명사」
","검거나 거무스름한 모래.
"
먹색,단어,혼종어,먹色,"고유어 먹
한자 色
","「명사」
","먹물의 빛깔과 같은 검은색.
"
먹선,단어,혼종어,먹線,"고유어 먹
한자 線
","「명사」
","먹으로 그은 선.
"
먹성,단어,혼종어,먹性,"고유어 먹
한자 性
","「명사」
","「1」음식의 종류에 따라 좋아하거나 싫어하는 성미.
「2」음식을 먹는 분량.
"
먹소용,단어,고유어,,,"「명사」
","→ 먹병.
"
먹솜,단어,고유어,,,"「명사」
","먹물에 담근 솜.
"
먹쇠,단어,고유어,,,"「명사」
","남사당패 탈놀이 첫째 마당에 등장하는 인물의 하나. 또는 그 인물이 쓰는 탈. 이 탈과 말뚝이탈을 겸하여 쓰고 징을 들고나온다.
"
먹수건,단어,혼종어,먹手巾,"고유어 먹
한자 手巾
","「명사」
","「1」분판(粉板)의 글씨를 지우고 닦는 헝겊.
「2」먹물을 닦는 헝겊.
"
먹승,단어,혼종어,먹僧,"고유어 먹
한자 僧
","「명사」
","「1」봉산 탈춤, 양주 별산대놀이, 송파 산대놀이 따위에 등장하는 인물의 하나.
「2」봉산 탈춤, 양주 별산대놀이, 송파 산대놀이 따위에 쓰는 탈의 하나.
"
먹실,단어,고유어,,,"「명사」
","먹물을 묻히거나 칠한 실.
"
먹얼게비늘,단어,고유어,,,"「명사」
","동갈돔과의 바닷물고기. 몸의 길이는 8cm 정도이며, 회색을 띤 갈색이고 꼬리지느러미, 가슴지느러미는 누런색이다. 몸은 긴 타원형이고 비늘은 단단하다. 한국, 일본 등지에 분포한다.
"
먹옷,단어,고유어,,,"「명사」
","먹물을 들인 옷.
"
먹은금,단어,고유어,,,"「명사」
","물건을 살 때에 든 돈.
"
먹은금새,단어,고유어,,,"「명사」
","물건을 살 때에 든 값의 높고 낮은 정도.
"
먹을거리,단어,고유어,,,"「명사」
","먹을 수 있거나 먹을 만한 음식 또는 식품.
"
먹을알,단어,고유어,,,"「명사」
","「1」그다지 힘들이지 아니하고 생기거나 차지하게 되는 소득.
「2」금이 많이 박힌 광맥이나 광석.
"
먹음먹이,단어,고유어,,,"「명사」
","「1」먹음직한 음식들.
「2」→ 먹새02.
"
먹음새,단어,고유어,,,"「명사」
","「1」음식을 먹는 태도.
「2」음식을 만드는 범절.
"
먹이,단어,고유어,,,"「명사」
","동물이 살아가기 위하여 먹어야 할 거리. 또는 사육하는 가축에게 주는 먹을거리.
"
먹이다툼,단어,고유어,,,"「명사」
","같은 먹이를 먹는 생물들이 먹이 때문에 서로 다툼. 또는 그런 현상.
"
먹이망,단어,혼종어,먹이網,"고유어 먹이
한자 網
","「명사」
","생태계에서 여러 생물의 먹이 사슬이 가로세로로 얽혀서, 그물처럼 복잡하게 이루어져 있는 먹이 관계.
"
먹이생물,단어,혼종어,먹이生物,"고유어 먹이
한자 生物
","「명사」
","물고기의 먹이로 이용하는 생물.
"
먹이양,단어,혼종어,먹이量,"고유어 먹이
한자 量
","「명사」
","동물이나 사육하는 가축에게 주는 먹이의 분량.
"
먹이잡이,단어,고유어,,,"「명사」
","동물이 먹이를 잡는 일.
"
먹이장,단어,혼종어,먹이場,"고유어 먹이
한자 場
","「명사」
","가축이 먹이를 먹는 곳.
"
먹이통,단어,혼종어,먹이桶,"고유어 먹이
한자 桶
","「명사」
","먹이를 담아 두는 통.
"
먹이풀,단어,고유어,,,"「명사」
","짐승에게 먹이는 풀.
"
먹잇감,단어,고유어,,,"「명사」
","짐승이나 물고기 따위의 먹이가 되는 것.
"
먹자,단어,고유어,,,"「명사」
","목수가 나무에 먹으로 금을 그을 때 쓰는 ‘T’ 자 모양의 자.
"
먹자골목,단어,고유어,,,"「명사」
","음식점과 술집 따위가 여럿 모여 있는 골목.
"
먹자리,단어,고유어,,,"「명사」
","물고기 따위가 먹이를 먹으려고 잡은 자리.
"
먹자리은어,단어,혼종어,먹자리銀魚,"고유어 먹자리
한자 銀魚
","「명사」
","먹자리를 확보하고 있는 은어.
"
먹자파,단어,혼종어,먹자派,"고유어 먹자
한자 派
","「명사」
","「1」먹고 놀기를 좋아하는 사람을 낮잡아 이르는 말.
「2」뇌물을 좋아하는 사람을 낮잡아 이르는 말.
"
먹자판,단어,고유어,,,"「명사」
","「1」우선 먹고 보자는 향락주의적인 생각.
「2」여러 사람이 모여 마구 먹고 즐기는 자리.
「3」남의 재물을 틈만 있으면 닥치는 대로 뜯어먹자는 판국.
"
먹장,단어,고유어,,,"「명사」
","먹의 조각.
"
먹장구름,단어,고유어,,,"「명사」
","먹빛같이 시꺼먼 구름.
"
먹장님노린재,단어,고유어,,,"「명사」
","노린잿과의 곤충. 몸의 길이는 4~5mm이며, 검은색이다. 머리 주위에는 가시와 강모(剛毛)가 있으며 더듬이에는 금색 털이 빽빽하게 나 있다. 한국, 일본, 중국 등지에 분포한다.
"
먹장삼,단어,혼종어,먹長衫,"고유어 먹
한자 長衫
","「명사」
","검은 물을 들인 승려의 웃옷.
"
먹장쇠,단어,고유어,,,"「명사」
","말이나 소의 배 앞쪽에 얹는 가장 짧은 멍에.
"
먹장어,단어,혼종어,먹長魚,"고유어 먹
한자 長魚
","「명사」
","꾀장어과의 바닷물고기. 몸의 길이는 55~60cm이며, 뱀장어 모양으로 엷은 자줏빛을 띤 갈색이다. 입은 그 둘레에 여섯 개의 수염이 있고, 아가미구멍은 여섯 쌍이며 피부에 점액을 내어 미끄럽다. 한국, 일본 등지에 분포한다.
"
먹장어강,단어,혼종어,먹長魚綱,"고유어 먹
한자 長魚綱
","「명사」
","척추동물문의 한 강.
"
먹장어목,단어,혼종어,먹長魚目,"고유어 먹
한자 長魚目
","「명사」
","먹장어강의 한 목. 하등 어류의 무리로 턱이 없으며 입은 깔때기 모양이고, 입가에 한두 쌍의 더듬이가 있다. 눈이 살가죽 밑에 묻혀 보이지 않으며 등지느러미가 없다. 암수한몸으로 먹장어, 묵꾀장어 따위가 있다.
"
먹점홍갈치,단어,혼종어,먹點紅갈치,"고유어 먹
한자 點紅
고유어 갈치
","「명사」
","홍갈칫과의 바닷물고기. 몸의 길이는 50cm 정도이며, 검은색이고 등지느러미에 검은색 반점이 있다. 몸은 좁고 길며 납작하고, 양턱에는 송곳니 모양의 날카로운 이가 늘어서 있다. 한국, 일본, 대만 등지에 분포한다.
"
먹조롱박벌,단어,고유어,,,"「명사」
","구멍벌과의 곤충. 몸은 검은색이고, 날개는 회색을 띤 황색으로 투명하다. 머리, 가슴, 배의 기부에는 회색 털이 있다. 한국, 일본, 대만 등지에 분포한다.
"
먹종이,단어,고유어,,,"「명사」
","한쪽 또는 양쪽 면에 검은 칠을 한 얇은 종이. 종이 사이에 끼우고 골필이나 철필로 눌러써서 한꺼번에 여러 벌을 복사한다.
"
먹줄,단어,고유어,,,"「명사」
","「1」먹통에 딸린 실줄. 먹을 묻혀 곧게 줄을 치는 데 쓴다.
「2」먹줄을 쳐서 낸 줄.
"
먹줄꼭지,단어,고유어,,,"「명사」
","먹줄 끝에 달린 뾰족한 나무쪽. 줄을 치려는 물건에 꽂는다.
"
