어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
길벌레,단어,고유어,,,"「명사」
","기어다니는 벌레.
"
길벗,단어,고유어,,,"「명사」
","길을 함께 가는 동무. 또는 같은 길을 가는 사람.
"
길보,단어,한자어,吉報,"한자 吉報
","「명사」
","좋은 소식.
"
길복,단어,한자어,吉卜,"한자 吉卜
","「명사」
","운이 좋을 것이라고 나온 점.
"
길복벗김,단어,혼종어,吉服벗김,"한자 吉服
고유어 벗김
","「명사」
","전통 혼례에서 신랑이 초례(醮禮)를 마치고 관디를 벗을 때에 갈아입도록 신붓집에서 마련한 옷.
"
길봇짐,단어,혼종어,길褓짐,"고유어 길
한자 褓
고유어 짐
","「명사」
","먼 길을 갈 때 꾸리는 봇짐.
"
길비,단어,한자어,吉妃,"한자 吉妃
","「명사」
","어질고 좋은 비(妃).
"
길비용,단어,혼종어,길費用,"고유어 길
한자 費用
","「명사」
","먼 길을 떠나 오가는 데 드는 비용.
"
길사,단어,한자어,吉士,"한자 吉士
","「명사」
","「1」‘선비01’를 멋스럽게 이르는 말.
「2」운수가 트인 사람.
"
길사람,단어,고유어,,,"「명사」
","길에서 만나는 낯모르는 사람.
"
길사위,단어,고유어,,,"「명사」
","오광대놀이에서, 엉금엉금 기는 춤사위.
"
길상,단어,한자어,吉相,"한자 吉相
","「명사」
","복을 많이 받을 관상.
"
길상과,단어,한자어,吉祥果,"한자 吉祥果
","「명사」
","「1」길상천의 어머니인 귀자모신이 오른손에 든 과일. 석류를 이르는데 마(魔)를 없애는 과일이라고 한다.
「2」엽의관음이 염렬(炎熱)의 괴로움을 당하는 중생을 구제하고자 서원한 표지.
"
길상금강,단어,한자어,吉祥金剛,"한자 吉祥金剛
","「명사」
","석가모니여래의 왼쪽에 있는 보살. 사보살의 하나이다. 제불(諸佛)의 지혜를 맡은 보살로, 오른쪽에 있는 보현보살과 함께 삼존불(三尊佛)을 이룬다. 그 모양이 가지각색이나 보통 사자를 타고 오른손에 지검(智劍), 왼손에 연꽃을 들고 있다.
"
길상단,단어,한자어,吉祥緞,"한자 吉祥緞
","「명사」
","중국에서 만든 비단의 하나.
"
길상무늬,단어,혼종어,吉祥무늬,"한자 吉祥
고유어 무늬
","「명사」
","장수나 행복 따위의 좋은 일을 상징하는 무늬. 십장생이나 나비 따위의 소재로 구성한다.
"
길상문,단어,한자어,吉祥紋,"한자 吉祥紋
","「명사」
","장수나 행복 따위의 좋은 일을 상징하는 무늬. 십장생이나 나비 따위의 소재로 구성한다.
"
길상사,단어,한자어,吉祥紗,"한자 吉祥紗
","「명사」
","중국에서 나는 생사로 짠 옷감의 하나.
"
길상선사,단어,한자어,吉祥善事,"한자 吉祥善事
","「명사」
","더할 나위 없이 기쁘고 좋은 일.
"
길상좌,단어,한자어,吉祥坐,"한자 吉祥坐
","「명사」
","왼발을 오른쪽 넓적다리 위에 얹어 놓은 다음에 오른발을 왼쪽 넓적다리 위에 놓고 앉음. 또는 그런 자세.
"
길상천,단어,한자어,吉祥天,"한자 吉祥天
","「명사」
","복덕을 주는 여신. 아름다운 얼굴에 천의(天衣)를 입고 보관(寶冠)을 썼으며, 왼손에 여의주를 받들고 있다.
"
