어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
가가,단어,한자어,可呵,"한자 可呵
","「명사」
","주로 편지에서, 스스로 생각하여도 우습다는 뜻으로 이르는 말.
"
가가대소,단어,한자어,呵呵大笑,"한자 呵呵大笑
","「명사」
","소리를 내어 크게 웃음.
"
가가례,단어,한자어,家家禮,"한자 家家禮
","「명사」
","각 집안에 따라 달리 행하는 예법·풍속 따위.
"
가가문전,단어,한자어,家家門前,"한자 家家門前
","「명사」
","집집마다의 문 앞.
"
가가방,단어,한자어,假家房,"한자 假家房
","「명사」
","‘가겟방’의 원말.
"
가가성자,단어,한자어,家家聖者,"한자 家家聖者
","「명사」
","성문 사과(聲聞四果)에서, 일래과를 얻기 위하여 수행하는 성인.
"
가각,단어,한자어,街角,"한자 街角
","「명사」
","거리의 한 모서리.
"
가각고,단어,한자어,架閣庫,"한자 架閣庫
","「명사」
","고려 말기·조선 초기에, 문서의 보존과 관리를 맡아보던 관아. 고려 충렬왕 6년(1280) 이전에 설치하였다가 조선 세조 14년(1468)에 없앴다.
"
가각본,단어,한자어,家刻本,"한자 家刻本
","「명사」
","개인이 간행한 책.
"
가간,단어,한자어,家間,"한자 家間
","「명사」
","온 집안.
"
가간사,단어,한자어,家間事,"한자 家間事
","「명사」
","「1」살림을 꾸려 나가면서 하여야 하는 여러 가지 일. 빨래, 밥하기, 청소 따위를 이른다.
「2」자기 집이나 가까운 친척 집에 생기는 일이나 행사.
"
가간집물,단어,한자어,家間什物,"한자 家間什物
","「명사」
","집에 놓고 쓰는 온갖 살림 도구.
"
가감,단어,한자어,加減,"한자 加減
","「명사」
","「1」더하거나 빼는 일. 또는 그렇게 하여 알맞게 맞추는 일.
「2」덧셈과 뺄셈을 아울러 이르는 말.
"
가감례,단어,한자어,加減例,"한자 加減例
","「명사」
","형벌을 더하거나 덜어야 할 경우에, 그 정도와 순서에 기준이 되는 원칙.
"
가감법,단어,한자어,加減法,"한자 加減法
","「명사」
","「1」덧셈과 뺄셈을 하는 방법.
「2」두 개 이상의 미지수를 가진 연립 방정식에서 한 미지수의 계수를 곱셈이나 나눗셈을 써서 같게 만든 후, 더하거나 빼어 그 미지수를 없애는 방법.
"
가감변,단어,한자어,加減瓣▽,"한자 加減瓣▽
","「명사」
","→ 가감판.
"
가감부득,단어,한자어,加減不得,"한자 加減不得
","「명사」
","더할 수도 덜 수도 없음.
"
가감산,단어,한자어,加減算,"한자 加減算
","「명사」
","덧셈과 뺄셈을 아울러 이르는 말.
"
가감승제,단어,한자어,加減乘除,"한자 加減乘除
","「명사」
","덧셈, 뺄셈, 곱셈, 나눗셈을 아울러 이르는 말.
"
가감승합제,단어,한자어,加減乘合題,"한자 加減乘合題
","「명사」
","덧셈과 뺄셈과 곱셈을 써서 풀게 되어 있는 문제.
"
가감역,단어,한자어,假監役,"한자 假監役
","「명사」
","조선 시대에, 선공감에서 토목 영선(營繕)을 맡아보던 종구품의 임시직.
"
가감역관,단어,한자어,假監役官,"한자 假監役官
","「명사」
","조선 시대에, 선공감에서 토목 영선(營繕)을 맡아보던 종구품의 임시직.
"
가감은휘,단어,한자어,加減隱諱,"한자 加減隱諱
","「명사」
","주로 종친과의 혼인을 꺼려, 나이 따위를 실제보다 더하거나 줄이거나 하여 숨기는 일.
"
가감죄례,단어,한자어,加減罪例,"한자 加減罪例
","「명사」
","형벌을 더하거나 덜어야 할 경우에, 그 정도와 순서에 기준이 되는 원칙.
"
가감지인,단어,한자어,可堪之人,"한자 可堪之人
","「명사」
","맡은 일을 넉넉히 감당할 만한 사람.
"
가감판,단어,한자어,加減瓣,"한자 加減瓣
","「명사」
","기계나 기관으로 들어가는 가스·증기 따위의 흐름을 조절하는 밸브.
"
가감합제,단어,한자어,加減合題,"한자 加減合題
","「명사」
","덧셈과 뺄셈을 써서 풀게 되어 있는 문제.
"
가감형,단어,한자어,加減刑,"한자 加減刑
","「명사」
","법률에서 정한 형보다 무겁게 하거나 가볍게 매긴 형.
"
가객,단어,한자어,佳客,"한자 佳客
","「명사」
","반갑고 귀한 손님.
"
가갸,단어,고유어,,,"「명사」
","‘가갸거겨……’로 시작되는 반절본문의 첫 두 글자.
"
가갸글,단어,고유어,,,"「명사」
","‘한글01’을 달리 이르는 말.
"
가갸날,단어,고유어,,,"「명사」
","‘한글날’의 처음 이름. 1926년 한글날 기념식을 처음으로 치르는 자리에서 정해졌으며, 그 이후 여러 해 동안 사용되었다.
"
가거,단어,한자어,家居,"한자 家居
","「명사」
","「1」벼슬살이에서 물러나 집 안에서 한가롭게 지냄.
「2」과년한 처녀가 시집가지 아니하고 집에 있음.
"
가거지지,단어,한자어,可居之地,"한자 可居之地
","「명사」
","머물러 살 만하거나 살기 좋은 곳.
"
가거처,단어,한자어,可居處,"한자 可居處
","「명사」
","머물러 살 만하거나 살기 좋은 곳.
"
가건물,단어,한자어,假建物,"한자 假建物
","「명사」
","임시로 지은 건물.
"
가건축,단어,한자어,假建築,"한자 假建築
","「명사」
","임시로 하는 건축.
"
가검물,단어,한자어,可檢物,"한자 可檢物
","「명사」
","병균의 유무를 알아보기 위하여 거두는 물질.
"
가게,단어,고유어,,,"「명사」
","「1」작은 규모로 물건을 파는 집.
「2」길거리에 임시로 물건을 벌여 놓고 파는 곳.
"
가게거밋과,단어,혼종어,가게거밋科,"고유어 가게거밋
한자 科
","「명사」
","절지동물문 거미강 거미목의 한 과. 우리나라에는 가게거미, 깔때기거미, 풀거미 따위의 7속 30종 이상이 분포한다.
"
가게내기,단어,고유어,,,"「명사」
","미리 만들어 가게에 내놓고 파는 물건.
"
가게쟁이,단어,고유어,,,"「명사」
","가게를 운영하는 사람을 낮잡아 이르는 말.
"
가게채,단어,고유어,,,"「명사」
","가게로 쓰는 집채.
"
가겟방,단어,혼종어,가겟房,"고유어 가겟
한자 房
","「명사」
","「1」자그마하게 가게로 차려 쓰는 방.
「2」작은 규모로 물건을 파는 집.
「3」가게 안에 딸린 작은 방.
"
가겟세,단어,혼종어,가겟貰,"고유어 가겟
한자 貰
","「명사」
","가게를 하는 자리를 빌려 쓰는 대가로 주는 돈.
"
가겟집,단어,고유어,,,"「명사」
","「1」가게를 벌이고 장사를 하는 집.
「2」가게로 쓰는 집.
"
가격,단어,한자어,加擊,"한자 加擊
","「명사」
","손이나 주먹, 몽둥이 따위로 때리거나 침.
"
가격대,단어,한자어,價格帶,"한자 價格帶
","「명사」
","어떤 물건의 가장 싼 값과 가장 비싼 값 사이의 범위.
"
가격소구,단어,한자어,價格訴求,"한자 價格訴求
","「명사」
","가격에 초점을 맞추어 소비자에게 구매를 호소하는 방식으로 상품 광고를 하는 일.
"
가격시점,단어,한자어,價格時點,"한자 價格時點
","「명사」
","재산의 감정이나 평가에서, 대상의 가격 조사를 끝낸 날짜.
"
가격제,단어,한자어,價格制,"한자 價格制
","「명사」
","물건의 가치를 가격으로 나타내는 제도.
"
가격표,단어,한자어,價格表,"한자 價格表
","「명사」
","「1」판매할 상품들의 가격을 적어 놓은 일람표.
「2」상품에 붙어 있는 가격 표시.
"
가결,단어,한자어,可決,"한자 可決
","「명사」
","회의에서, 제출된 의안을 합당하다고 결정함.
"
가결안,단어,한자어,可決案,"한자 可決案
","「명사」
","회의에 제출되어 통과된 의안.
"
가결의,단어,한자어,假決議,"한자 假決議
","「명사」
","「1」회의에서 결의에 필요한 요건이 갖추어지지 못했을 때, 임시로 채택하는 결의. 뒤에 정식 회의에서 이것이 승인되면 효력을 가지고, 부결되면 효력을 잃는다.
「2」주식회사의 정관을 고치기 위하여 열린 주주 총회에서, 출석 회원이 정원 미달일 때 임시로 결의를 하는 일.
"
가결전,단어,한자어,加結錢,"한자 加結錢
","「명사」
","조선 후기에, 면적 단위로 부과되던 토지의 세율을 원래보다 높여서 부당하게 받아 내던 세금.
"
가경,단어,한자어,加敬,"한자 加敬
","「명사」
","더욱 공경함.
"
가경일,단어,한자어,嘉慶日,"한자 嘉慶日
","「명사」
","대종교에서, 제1대 도사교 나철의 죽음을 기념하는 날. 음력 8월 15일로, 대종교 창건 8년 뒤인 1916년 나철이 인간 죄악을 대속하기 위해 죽었다고 하여 기념한다.
"
가경자,단어,한자어,可敬者,"한자 可敬者
","「명사」
","「1」로마 가톨릭교회에서, 신앙과 덕행이 뛰어난 사람이 죽었을 때 그에게 내리던 칭호.
「2」시복 후보자에게 잠정적으로 주는 존칭.
"
가경전,단어,한자어,加耕田,"한자 加耕田
","「명사」
","조선 시대에, 새로 개간하여 아직 토지 대장에 오르지 않던 논밭.
"
가경절,단어,한자어,嘉慶節,"한자 嘉慶節
","「명사」
","‘가경일’을 경절로 이르는 말.
"
가경지,단어,한자어,可耕地,"한자 可耕地
","「명사」
","일구어서 농사를 지을 만한 땅.
"
가계,단어,한자어,加計,"한자 加計
","「명사」
","「1」통화의 액면가와 시가가 다른 경우, 그 차액을 더 계산하는 일.
「2」더하여 셈함.
"
가계도,단어,한자어,家系圖,"한자 家系圖
","「명사」
","집안의 혈연이나 혼인 관계 따위를 나타낸 그림. 유전학 연구의 기초 자료가 된다.
"
가계례,단어,한자어,加筓禮,"한자 加筓禮
","「명사」
","예전에, 15세가 된 여자 또는 약혼한 여자가 올리던 성인 의식. 땋았던 머리를 풀고 쪽을 찌었다.
"
가계부,단어,한자어,家計簿,"한자 家計簿
","「명사」
","집안 살림의 수입과 지출을 적는 장부.
"
