어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
통세,단어,한자어,痛勢,"한자 痛勢
","「명사」
","상처나 병의 아픈 형세.
"
통세계,단어,한자어,通世界,"한자 通世界
","「명사」
","「1」모든 세계.
「2」세계에 널리 통함.
"
통소,단어,한자어,洞簫,"한자 洞簫
","「명사」
","‘퉁소’의 원말.
"
통소기,단어,한자어,通宵旗,"한자 通宵旗
","「명사」
","순청(巡廳) 앞에 세워 야간 통행이 가능함을 표시하던 기.
"
통소로,단어,한자어,通小櫨,"한자 通小櫨
","「명사」
","통짜로 만든 접시받침. 첨차와 첨차 사이에 끼운다.
"
통소리,단어,고유어,,,"「명사」
","성악에서, 목소리를 아름답고 섬세하게 굴리지 아니하고 내는 생경한 소리.
"
통소매,단어,고유어,,,"「명사」
","위아래로 통이 고른 소매.
"
통소불매,단어,한자어,通宵不寐,"한자 通宵不寐
","「명사」
","밤새도록 잠을 이루지 못함.
"
통속,단어,고유어,,,"「명사」
","「1」비밀리에 서로 통하는 사람들의 무리.
「2」비밀리에 서로 통하는 뜻.
"
통속가요,단어,한자어,通俗歌謠,"한자 通俗歌謠
","「명사」
","「1」통속적인 내용을 담은 노래.
「2」일반 사람이 부르기 쉽고 널리 알려진 노래.
"
통속강연,단어,한자어,通俗講演,"한자 通俗講演
","「명사」
","일반 사람이 다 알아들을 수 있는 문제나 내용의 강연.
"
통속극,단어,한자어,通俗劇,"한자 通俗劇
","「명사」
","통속적인 내용의 연극이나 드라마.
"
통속문,단어,한자어,通俗文,"한자 通俗文
","「명사」
","모든 사람이 알아볼 수 있도록 쉽게 쓴 내용의 글.
"
통속물,단어,한자어,通俗物,"한자 通俗物
","「명사」
","모든 사람이 쉽게 이해할 수 있는 쉬운 내용의 소설이나 연극, 영화 따위의 작품.
"
통속미,단어,한자어,通俗味,"한자 通俗味
","「명사」
","학문이나 예술 따위에서 풍기는 통속적인 맛이나 느낌.
"
통속성,단어,한자어,通俗性,"한자 通俗性
","「명사」
","통속적인 성질.
"
통속어,단어,한자어,通俗語,"한자 通俗語
","「명사」
","통속적으로 쓰이는 말.
"
통속화,단어,한자어,通俗化,"한자 通俗化
","「명사」
","통속적으로 됨. 또는 그렇게 되게 함.
"
통솔,단어,고유어,,,"「명사」
","두 겹을 겹쳐 먼저 겉쪽에서 얕게 박은 다음 뒤집어 안쪽에서 다시 박는 바느질 방법. 또는 그 방법으로 박은 솔기.
"
통솔권,단어,한자어,統率權,"한자 統率權
","「명사」
","무리를 거느려 다스리는 권한.
"
통솔력,단어,한자어,統率力,"한자 統率力
","「명사」
","무리를 거느려 다스리는 능력.
"
통솔자,단어,한자어,統率者,"한자 統率者
","「명사」
","무리를 거느려 다스리는 사람.
"
통송곳,단어,고유어,,,"「명사」
","반달 모양의 날에 긴 자루가 박혀 있는 송곳. 송곳과 칼의 두 가지 구실을 한다.
"
통수,단어,한자어,通水,"한자 通水
","「명사」
","「1」물이 통하여 흐름. 또는 그렇게 되게 함.
「2」수도가 없는 지역에 물을 댐.
"
통수구,단어,한자어,通水口,"한자 通水口
","「명사」
","물이 빠져 흘러 나가거나 나오는 구멍.
"
통수권,단어,한자어,統帥權,"한자 統帥權
","「명사」
","한 나라 전체의 병력을 지휘하고 통솔하는 권력. 일반적으로 국가 원수가 관장한다.
"
통수로,단어,한자어,通水路,"한자 通水路
","「명사」
","물이 통하여 흐르는 길.
"
통수수,단어,고유어,,,"「명사」
","쌀을 내지 아니한 그대로의 수수.
"
통술,단어,혼종어,桶술,"한자 桶
고유어 술
","「명사」
","「1」통에다 넣어 빚은 술.
「2」한 통 되는 술.
"
통숭어,단어,고유어,,,"「명사」
","→ 동숭어.
"
통습,단어,한자어,通習,"한자 通習
","「명사」
","「1」일반적인 풍습.
「2」모든 것에 걸쳐 두루 배움.
「3」사물의 진리를 잘 분별함.
"
통시,단어,한자어,洞視,"한자 洞視
","「명사」
","꿰뚫어 환히 봄.
"
통시간,단어,혼종어,통時間,"고유어 통
한자 時間
","「명사」
","중간에 다른 일을 하지 아니하고 오직 해당한 일에만 들일 수 있는 알찬 시간.
"
통시론,단어,한자어,通時論,"한자 通時論
","「명사」
","어떤 언어 현상을 여러 시대에 걸쳐 역사적으로 연구하는 학문. 언어학의 한 분야이다.
"
통시태,단어,한자어,通時態,"한자 通時態
","「명사」
","시간의 흐름에 따라 변화하는 언어의 모습.
"
통식,단어,한자어,通式,"한자 通式
","「명사」
","일반적으로 두루 통하는 방식.
"
통신,단어,한자어,通信,"한자 通信
","「명사」
","「1」소식을 전함.
「2」편이나 전신, 전화 따위로 정보나 의사를 전달함. 또는 그 내용.
「3」신문이나 잡지에 실을 기사의 자료를 보냄. 또는 그 자료.
「4」정보 전달을 다루는 과학 기술. 정보를 모아 전류나 전기장으로 바꾼 다음 전기적 계통이나 공간을 통하여 다른 지점에 전달하면 수신자가 이해할 수 있도록 다시 바꾸는 기술이다.
"
통신감,단어,한자어,通信監,"한자 通信監
","「명사」
","통신감실의 우두머리.
"
통신감실,단어,한자어,通信監室,"한자 通信監室
","「명사」
","예전에, 육해공군에서 통신에 관한 일을 맡아보던 특별 참모 부서.
"
통신관,단어,한자어,通信管,"한자 通信管
","「명사」
","전서구의 발에 부착하여 통신문을 넣는, 알루미늄 따위로 만든 관.
"
통신구,단어,한자어,通信區,"한자 通信區
","「명사」
","통신 산업과 관련하여 일정하게 나눈 구역.
"
통신국,단어,한자어,通信局,"한자 通信局
","「명사」
","대한 제국 때에, 농상공부에 속하여 통신과 육·해운 수송을 맡아보던 관청. 1895년에 두었는데 1900년에 통신원으로 고쳤다.
"
통신기,단어,한자어,通信機,"한자 通信機
","「명사」
","통신에 쓰는 여러 기계를 통틀어 이르는 말. 전화기, 무선기 따위가 있다.
"
통신단,단어,한자어,通信團,"한자 通信團
","「명사」
","육군에서, 통신 기재(器材)를 각 부대에 보급·설비하고, 운용과 정비에 관한 일도 맡아보는 부대.
"
통신대,단어,한자어,通信隊,"한자 通信隊
","「명사」
","통신에 관한 일을 맡아보는 부대.
"
통신란,단어,한자어,通信欄,"한자 通信欄
","「명사」
","신문이나 잡지 따위에서, 여러 곳에서 들어온 통신을 싣는 지면.
"
통신망,단어,한자어,通信網,"한자 通信網
","「명사」
","「1」통신사나 신문사 따위에서, 여러 곳에 통신원을 파견하여 본사와 연락하도록 짜 놓은 연락 체계.
「2」전화선이나 송신탑, 수신탑과 같은 통신 설비를 여러 곳에 설치해 두고 유선·무선 전화를 이용하여 정보나 의사를 주고받을 수 있는 연락 체계.
「3」랜(LAN)이나 모뎀 따위의 통신 설비를 갖춘 컴퓨터를 이용하여 서로 연결시켜 주는 조직이나 체계.
"
통신문,단어,한자어,通信文,"한자 通信文
","「명사」
","통신 내용을 적은 글.
"
통신병,단어,한자어,通信兵,"한자 通信兵
","「명사」
","통신에 관한 임무를 맡아보는 사병.
"
통신부,단어,한자어,通信部,"한자 通信部
","「명사」
","예전에, 사단급 이상의 부대에서 통신에 관한 일을 맡아보던 특별 참모 부서. 통신 참모가 관장하였다.
"
통신비,단어,한자어,通信費,"한자 通信費
","「명사」
","통신에 드는 비용.
"
통신사,단어,한자어,通信士,"한자 通信士
","「명사」
","통신에 관한 일을 맡아보는 기술자.
"
통신선,단어,한자어,通信船,"한자 通信船
","「명사」
","통신 임무를 맡아 수행하는 배.
"
통신소,단어,한자어,通信所,"한자 通信所
","「명사」
","통신기를 이용하여 여러 가지 정보를 교환하는 곳.
"
통신수,단어,한자어,通信手,"한자 通信手
","「명사」
","통신에 관한 일을 맡아보는 기술자.
"
통신업,단어,한자어,通信業,"한자 通信業
","「명사」
","「1」우편이나 전신, 전화 따위의 통신에 관한 사업.
「2」신문사나 잡지사, 방송업체 따위에 보도 자료를 전달하는 사업.
"
통신원,단어,한자어,通信員,"한자 通信員
","「명사」
","신문사나 방송국 따위에서 각 지방이나 외국에 파견되어 그곳의 소식을 취재하여 본사에 통신하는 사람.
"
통신전,단어,한자어,通信箭,"한자 通信箭
","「명사」
","예전에, 신호나 소식을 전하기 위하여 꼬리에 불을 붙여 쏘던 화살.
"
통신차,단어,한자어,通信車,"한자 通信車
","「명사」
","시설을 갖추어 통신을 할 수 있게 마련된 차.
"
통신통,단어,한자어,通信筒,"한자 通信筒
","「명사」
","항공기에서 통신문을 넣어 지상으로 떨어뜨릴 때 쓰는 둥근 통.
"
통신표,단어,한자어,通信票,"한자 通信票
","「명사」
","‘생활 통지표’의 전 용어.
"
통신회의,단어,한자어,通信會議,"한자 通信會議
","「명사」
","서로 다른 지점을 통신 시스템으로 연결하여 하는 회의.
"
통실,단어,한자어,洞悉,"한자 洞悉
","「명사」
","모든 형편이나 사정을 자세히 앎. 또는 죄다 앎.
"
통심,단어,한자어,痛心,"한자 痛心
","「명사」
","몹시 마음이 상함. 또는 몹시 마음에 사무침.
"
통심정,단어,한자어,通心情,"한자 通心情
","「명사」
","서로 마음을 주고받음.
"
통썰기,단어,고유어,,,"「명사」
","당근, 오이, 호박, 무, 고구마 따위를 가로로 놓고 평행하게 통째로 내리 써는 방법.
"
통씨름,단어,고유어,,,"「명사」
","샅바 대신 허리띠를 잡고 하는 씨름.
"
통아,단어,한자어,通雅,"한자 通雅
","「명사」
","중국 명나라의 방이지(方以智)가 펴낸 잡가류(雜家類)의 책. ≪이아(爾雅)≫의 체재를 본떠서 25문(門)으로 나누고 명물(名物), 상수(象數), 훈고(訓詁), 음운(音韻) 따위의 어원에 대하여 상세히 고증하였다. 52권.
"
통악,단어,한자어,痛愕,"한자 痛愕
","「명사」
","몹시 괴로워함.
"
통알,단어,고유어,,,"「명사」
","쪼개지 아니한 통째 그대로의 알.
"
통약,단어,한자어,通約,"한자 通約
","「명사」
","분수의 분모와 분자를 공약수로 나누어 간단하게 하는 일.
"
통약수,단어,한자어,通約數,"한자 通約數
","「명사」
","어떤 정수를 나머지 없이 나눌 수 있는 정수를 원래의 수에 대하여 이르는 말. 예를 들어 3은 6의 약수이다.
"
