어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
대용갈이,단어,혼종어,代用갈이,"한자 代用
고유어 갈이
","「명사」
","오랜 가뭄이나 홍수 따위로 인하여 씨 뿌릴 시기를 놓쳐 심으려고 한 곡식을 심지 못하고 대신 다른 곡식의 씨앗을 뿌리는 일.
"
대용권,단어,한자어,代用權,"한자 代用權
","「명사」
","임의 채권에서, 채권자 또는 채무자가 본래의 급부를 다른 급부로 바꿀 수 있는 권리.
"
대용단,단어,한자어,大勇斷,"한자 大勇斷
","「명사」
","크게 마음먹고 내린 용단.
"
대용량,단어,한자어,大容量,"한자 大容量
","「명사」
","아주 큰 용량.
"
대용물,단어,한자어,代用物,"한자 代用物
","「명사」
","대신으로 쓰는 물건.
"
대용식,단어,한자어,代用食,"한자 代用食
","「명사」
","주식(主食) 대신으로 먹는 음식.
"
대용유,단어,한자어,代用乳,"한자 代用乳
","「명사」
","송아지를 키울 때에 우유 대신 먹이는 액체 사료. 식물성 먹이와 동물성 먹이를 배합하여 젖과 비슷하게 만든다.
"
대용융법,단어,한자어,帶鎔融法,"한자 帶鎔融法
","「명사」
","길쭉하게 생긴 금속 막대를 한쪽 끝에서부터 가열하여 서서히 다른 쪽 끝으로 녹여 가면서 순도(純度)를 높이는 방법. 반도체의 재료인 저마늄 따위의 초고순도(超高純度)의 금속을 얻기 위한 금속의 정제나 단결정을 제조하는 데에 쓴다.
"
대용작,단어,한자어,代用作,"한자 代用作
","「명사」
","「1」오랜 가뭄이나 홍수 따위로 인하여 씨 뿌릴 시기를 놓쳐 심으려고 한 곡식을 심지 못하고 대신 다른 곡식의 씨앗을 뿌리는 일.
「2」심으려던 곡식을 심을 수 없어 대신 심는 농작물.
"
대용재,단어,한자어,代用財,"한자 代用財
","「명사」
","서로 대신 쓸 수 있는 관계에 있는 두 가지의 재화. 쌀과 밀가루, 만년필과 연필, 버터와 마가린 따위이다.
"
대용품,단어,한자어,代用品,"한자 代用品
","「명사」
","어떤 물품을 대신하여 쓰는 물품.
"
대우,단어,고유어,,,"「명사」
","초봄에 보리, 밀, 조 따위를 심은 밭에서, 심어 놓은 작물 사이에 콩이나 팥 따위를 드문드문 심는 일.
"
대우깨,단어,고유어,,,"「명사」
","다른 작물을 재배하는 밭에서, 심어 놓은 작물 사이에 심는 깨.
"
대우리,단어,고유어,,,"「명사」
","대나무로 만든 우리.
"
대우법,단어,한자어,待遇法,"한자 待遇法
","「명사」
","남을 높여서 말하는 법. 문장의 주체를 높이는 주체 높임법, 말을 듣는 상대편을 높이는 상대 높임법이 있다.
"
대우석,단어,한자어,臺隅石,"한자 臺隅石
","「명사」
","기단의 모서리에 세운 돌.
"
대우성률,단어,한자어,對偶聲律,"한자 對偶聲律
","「명사」
","한시에서, 대구(對句)를 써서 각운을 동일하게 맞추는 방법.
"
