어휘,구성 단위,고유어 여부,원어,원어·어종,품사,뜻풀이
곡명,단어,한자어,曲名,"한자 曲名
","「명사」
","악곡의 이름.
"
곡목,단어,한자어,曲木,"한자 曲木
","「명사」
","굽은 나무.
"
곡문,단어,한자어,谷門,"한자 谷門
","「명사」
","골짜기로 들어가는 어귀. 평지와 골짜기와의 경계 지대이며 곡벽이 끝나는 곳이다.
"
곡물,단어,한자어,穀物,"한자 穀物
","「명사」
","사람의 식량이 되는 쌀, 보리, 콩, 조, 기장, 수수, 밀, 옥수수 따위를 통틀어 이르는 말.
"
곡물법,단어,한자어,穀物法,"한자 穀物法
","「명사」
","12세기 이래, 영국에서 지주의 이익을 보호하기 위하여 곡물의 수입을 규제한 법률. 1815년에는 법률로 곡물 가격을 고정하고자 하였으나 자유 무역론자들의 반대로 1846년에 폐지되었다.
"
곡물상,단어,한자어,穀物商,"한자 穀物商
","「명사」
","「1」곡물을 매매하는 장사. 또는 그런 장수.
「2」곡물을 파는 가게.
"
곡물세,단어,한자어,穀物稅,"한자 穀物稅
","「명사」
","곡물이 국경을 넘어서 수송될 때 부과하는 세금.
"
곡물식,단어,한자어,穀物式,"한자 穀物式
","「명사」
","쌀, 보리, 밀, 옥수수 따위의 곡물을 심어 가꾸는 농사 방식.
"
곡미,단어,한자어,曲眉,"한자 曲眉
","「명사」
","초승달 모양의 가늘고 둥근 눈썹이란 뜻으로, 미인의 눈썹을 이르는 말.
"
곡미어,단어,한자어,曲尾語,"한자 曲尾語
","「명사」
","형태론적 특징으로 본 언어의 한 유형. 어형과 어미의 변화로써 단어가 문장 속에서 가지는 여러 가지 관계를 나타내는 언어를 이른다. 인도·유럽 어족에 속한 대부분의 언어가 이에 속한다.
"
곡미풍협,단어,한자어,曲眉豐頰,"한자 曲眉豐頰
","「명사」
","초승달 모양의 눈썹과 통통하게 살이 붙은 탐스러운 뺨이란 뜻으로, 고전적 동양 미인의 얼굴을 이르는 말.
"
곡반,단어,한자어,哭班,"한자 哭班
","「명사」
","국상(國喪) 때 곡을 하던 벼슬아치의 반열.
"
곡발,단어,한자어,鵠髮,"한자 鵠髮
","「명사」
","하얗게 센 머리털.
"
곡배,단어,한자어,曲拜,"한자 曲拜
","「명사」
","임금을 뵙고 절을 함. 또는 그 절. 임금은 남쪽을 향하여 앉고, 절하는 사람은 임금을 마주 보지 아니하고 동쪽이나 서쪽을 향하여 절을 한다.
"
곡백,단어,한자어,穀帛,"한자 穀帛
","「명사」
","곡식과 비단을 아울러 이르는 말.
"
곡법,단어,한자어,曲法,"한자 曲法
","「명사」
","법을 그 본디의 뜻대로 따르지 아니하고 멋대로 왜곡함.
"
곡벽,단어,한자어,谷壁,"한자 谷壁
","「명사」
","골짜기 양쪽에 늘어선 벼랑.
"
곡변,단어,한자어,曲辯,"한자 曲辯
","「명사」
","틀린 것을 옳다고 주장함. 또는 그런 말.
"
곡병,단어,한자어,曲屛,"한자 曲屛
","「명사」
","「1」머리맡에 치는 병풍. 보통 두 쪽으로 되어 있다.
「2」일반 병풍보다 폭을 넓게 하여 두 폭으로 만든 병풍. 머리맡이나 방구석을 가리거나 치장하기 위하여 친다.
"
곡보,단어,한자어,曲譜,"한자 曲譜
","「명사」
","음악의 곡조를 일정한 기호를 써서 기록한 것. 표음(表音) 보표식과 주법(奏法) 보표식이 있는데, 주로 오선식(五線式) 보표가 사용된다.
"
